"Year","Month","Days Since Sept 3rd 2000","#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
2000,December,113,238,Lambeau Field,outdoors,grass,3,4,15,61,15,-15
2000,December,113,240,Foxboro Stadium,outdoors,grass,3,5,31,0,10,0
2000,December,113,242,Veterans Stadium,outdoors,astroturf,3,5,31,51,7,23
2000,December,113,244,Qualcomm Stadium,outdoors,grass,2,2,62,63,8,0
2000,December,113,246,Network Associates Coliseum,outdoors,grass,4,4,56,77,8,0
2000,December,114,247,Adelphia Coliseum,outdoors,grass,1,1,29,35,10,14
2000,December,119,248,Pro Player Stadium,outdoors,grass,4,6,59,58,12,0
2000,December,120,250,PSINet Stadium,outdoors,grass,1,1,22,49,20,5
2000,December,120,251,Veterans Stadium,outdoors,astroturf,1,2,34,44,18,11
2001,January,126,253,Network Associates Coliseum,outdoors,grass,2,3,58,57,6,0
2001,January,134,257,Network Associates Coliseum,outdoors,grass,4,5,56,60,12,0
2001,January,148,258,Raymond James Stadium,outdoors,grass,2,3,65,0,8,0
2001,September,371,259,Arrowhead Stadium,outdoors,grass,5,6,64,78,12,0
2001,September,371,260,Lambeau Field,outdoors,grass,2,3,60,93,5,0
2001,September,371,261,Texas Stadium,outdoors,astroturf,3,4,69,83,10,0
2001,September,371,263,Cleveland Browns Stadium,outdoors,grass,5,7,81,78,12,0
2001,September,371,264,PSINet Stadium,outdoors,grass,3,5,83,66,10,0
2001,September,371,265,Paul Brown Stadium,outdoors,grass,4,4,79,87,8,0
2001,September,371,266,Giants Stadium,outdoors,grass,2,2,81,81,6,0
2001,September,371,267,Ralph Wilson Stadium,outdoors,astroturf,3,3,87,52,10,0
2001,September,371,268,Alltel Stadium,outdoors,grass,1,2,83,0,10,0
2001,September,371,269,3Com Park,outdoors,grass,5,5,68,63,12,0
2001,September,371,270,Qualcomm Stadium,outdoors,grass,4,4,68,59,8,0
2001,September,371,271,Veterans Stadium,outdoors,fieldturf,3,3,82,56,5,0
2001,September,372,273,Invesco Field at Mile High,outdoors,grass,1,3,75,18,9,0
2001,September,385,274,Arrowhead Stadium,outdoors,grass,3,4,64,63,14,0
2001,September,385,275,Soldier Field,outdoors,grass,2,2,63,97,5,0
2001,September,385,277,Alltel Stadium,outdoors,grass,4,6,84,0,10,0
2001,September,385,278,Pro Player Stadium,outdoors,grass,4,4,88,69,9,0
2001,September,385,279,Paul Brown Stadium,outdoors,grass,1,4,73,64,8,0
2001,September,385,281,Texas Stadium,outdoors,astroturf,4,5,79,79,0,0
2001,September,385,282,Cleveland Browns Stadium,outdoors,grass,1,2,66,60,6,0
2001,September,385,283,Foxboro Stadium,outdoors,grass,2,2,74,89,10,0
2001,September,385,284,Husky Stadium,outdoors,fieldturf,3,4,65,75,4,0
2001,September,385,285,3Com Park,outdoors,grass,5,5,59,74,10,0
2001,September,385,286,Sun Devil Stadium,outdoors,grass,4,4,103,11,6,0
2001,September,386,287,Lambeau Field,outdoors,grass,3,3,46,62,12,0
2001,September,392,290,FedExField,outdoors,grass,3,3,57,51,19,0
2001,September,392,291,Ralph Wilson Stadium,outdoors,astroturf,3,5,63,48,7,0
2001,September,392,292,Ericsson Stadium,outdoors,grass,2,3,64,44,14,0
2001,September,392,293,Foxboro Stadium,outdoors,grass,3,3,59,0,20,0
2001,September,392,294,Giants Stadium,outdoors,grass,2,2,54,59,10,0
2001,September,392,295,Sun Devil Stadium,outdoors,grass,2,3,104,13,20,0
2001,September,392,296,Network Associates Coliseum,outdoors,grass,1,3,81,57,7,0
2001,September,392,297,Invesco Field at Mile High,outdoors,grass,4,4,71,41,5,0
2001,September,392,298,Alltel Stadium,outdoors,grass,3,4,72,0,12,0
2001,September,392,299,Qualcomm Stadium,outdoors,grass,0,1,78,67,8,0
2001,September,392,300,Veterans Stadium,outdoors,fieldturf,4,4,53,71,13,0
2001,October,394,301,Giants Stadium,outdoors,grass,5,6,52,96,0,0
2001,October,400,303,Cleveland Browns Stadium,outdoors,grass,5,6,45,48,12,24
2001,October,400,304,Heinz Field,outdoors,grass,3,4,44,60,20,0
2001,October,400,306,Pro Player Stadium,outdoors,grass,4,4,88,69,0,0
2001,October,400,309,Veterans Stadium,outdoors,fieldturf,2,3,53,43,17,0
2001,October,400,310,Network Associates Coliseum,outdoors,grass,0,2,59,72,10,0
2001,October,400,311,Invesco Field at Mile High,outdoors,grass,4,4,74,18,9,0
2001,October,400,312,Ralph Wilson Stadium,outdoors,astroturf,1,1,45,51,16,0
2001,October,400,313,Husky Stadium,outdoors,fieldturf,4,6,50,89,6,0
2001,October,400,314,Raymond James Stadium,outdoors,grass,1,2,80,65,9,0
2001,October,400,315,3Com Park,outdoors,grass,1,1,52,0,10,0
2001,October,407,317,Arrowhead Stadium,outdoors,grass,2,2,57,59,15,0
2001,October,407,319,Soldier Field,outdoors,grass,4,4,54,74,9,0
2001,October,407,321,Ericsson Stadium,outdoors,grass,4,4,71,96,16,0
2001,October,407,322,Paul Brown Stadium,outdoors,grass,3,4,57,87,10,0
2001,October,407,323,Lambeau Field,outdoors,grass,2,3,54,66,12,0
2001,October,407,324,Foxboro Stadium,outdoors,grass,5,8,59,100,15,0
2001,October,407,326,Adelphia Coliseum,outdoors,grass,3,4,64,80,10,0
2001,October,407,327,Giants Stadium,outdoors,grass,1,2,62,72,12,0
2001,October,407,328,Husky Stadium,outdoors,fieldturf,2,2,54,90,7,0
2001,October,408,330,Texas Stadium,outdoors,astroturf,3,6,65,48,0,0
2001,October,411,331,Alltel Stadium,outdoors,grass,3,5,66,0,13,0
2001,October,414,335,Raymond James Stadium,outdoors,grass,2,2,83,70,9,0
2001,October,414,336,FedExField,outdoors,grass,1,2,71,69,7,0
2001,October,414,337,Paul Brown Stadium,outdoors,grass,1,3,68,61,8,0
2001,October,414,338,Cleveland Browns Stadium,outdoors,grass,3,3,61,48,12,0
2001,October,414,339,Giants Stadium,outdoors,grass,2,2,70,68,10,0
2001,October,414,340,Qualcomm Stadium,outdoors,grass,3,4,66,76,8,0
2001,October,414,342,Sun Devil Stadium,outdoors,grass,4,4,88,17,2,0
2001,October,415,343,Giants Stadium,outdoors,grass,4,6,61,58,7,0
2001,October,418,344,Arrowhead Stadium,outdoors,grass,4,5,55,61,12,0
2001,October,421,347,Raymond James Stadium,outdoors,grass,2,2,67,52,15,0
2001,October,421,348,Ericsson Stadium,outdoors,grass,4,4,51,33,10,0
2001,October,421,350,Soldier Field,outdoors,grass,1,2,46,51,15,0
2001,October,421,351,Qualcomm Stadium,outdoors,grass,3,7,62,86,7,0
2001,October,421,352,Invesco Field at Mile High,outdoors,grass,3,3,72,24,9,0
2001,October,421,353,Texas Stadium,outdoors,astroturf,2,2,70,39,5,0
2001,October,421,354,FedExField,outdoors,grass,2,2,50,39,21,0
2001,October,421,356,Husky Stadium,outdoors,fieldturf,3,5,43,82,7,0
2001,October,422,357,Heinz Field,outdoors,grass,2,4,51,30,5,0
2001,November,427,359,Ralph Wilson Stadium,outdoors,astroturf,3,4,54,80,20,0
2001,November,427,360,Pro Player Stadium,outdoors,grass,5,6,75,93,17,0
2001,November,427,361,Heinz Field,outdoors,grass,3,7,59,82,0,0
2001,November,427,362,Lambeau Field,outdoors,grass,2,3,52,36,12,0
2001,November,427,363,Adelphia Coliseum,outdoors,grass,1,3,67,36,7,0
2001,November,427,364,Giants Stadium,outdoors,grass,3,6,58,47,5,0
2001,November,427,365,Sun Devil Stadium,outdoors,grass,0,0,94,21,16,0
2001,November,427,366,3Com Park,outdoors,grass,2,5,64,56,5,0
2001,November,427,367,Soldier Field,outdoors,grass,0,0,54,45,10,0
2001,November,427,368,Qualcomm Stadium,outdoors,grass,4,5,67,84,7,0
2001,November,427,369,FedExField,outdoors,grass,2,2,65,42,6,0
2001,November,428,371,Network Associates Coliseum,outdoors,grass,3,4,62,72,9,0
2001,November,434,373,Soldier Field,outdoors,grass,6,6,48,58,8,0
2001,November,434,374,Foxboro Stadium,outdoors,grass,1,4,47,41,25,24
2001,November,434,379,Alltel Stadium,outdoors,grass,2,2,73,0,6,0
2001,November,434,381,Invesco Field at Mile High,outdoors,grass,5,5,62,21,4,0
2001,November,434,383,3Com Park,outdoors,grass,4,4,68,70,14,0
2001,November,434,384,Sun Devil Stadium,outdoors,grass,2,3,83,36,7,0
2001,November,434,385,Husky Stadium,outdoors,fieldturf,4,4,50,100,0,0
2001,November,441,387,PSINet Stadium,outdoors,grass,3,3,54,0,5,0
2001,November,441,388,Ralph Wilson Stadium,outdoors,astroturf,5,6,55,56,14,0
2001,November,441,389,Ericsson Stadium,outdoors,grass,4,4,60,64,6,0
2001,November,441,390,Paul Brown Stadium,outdoors,grass,2,2,66,63,4,0
2001,November,441,391,Lambeau Field,outdoors,grass,5,5,59,77,16,0
2001,November,441,392,Pro Player Stadium,outdoors,grass,1,2,81,64,14,0
2001,November,441,394,Texas Stadium,outdoors,astroturf,6,8,70,81,5,0
2001,November,441,395,Heinz Field,outdoors,grass,2,3,57,0,0,0
2001,November,441,396,Network Associates Coliseum,outdoors,grass,3,3,65,72,7,0
2001,November,441,397,Sun Devil Stadium,outdoors,grass,2,2,79,25,0,0
2001,November,441,399,Raymond James Stadium,outdoors,grass,5,6,80,56,10,0
2001,November,441,400,Foxboro Stadium,outdoors,grass,2,3,49,52,15,0
2001,November,445,403,Texas Stadium,outdoors,astroturf,5,5,72,58,0,0
2001,November,448,405,Arrowhead Stadium,outdoors,grass,2,3,49,76,5,0
2001,November,448,406,Ralph Wilson Stadium,outdoors,astroturf,2,2,58,64,18,0
2001,November,448,407,Ericsson Stadium,outdoors,grass,1,1,73,75,12,0
2001,November,448,408,Cleveland Browns Stadium,outdoors,grass,4,6,55,72,15,0
2001,November,448,409,Veterans Stadium,outdoors,fieldturf,3,4,69,61,20,0
2001,November,448,410,Adelphia Coliseum,outdoors,grass,3,4,63,52,6,0
2001,November,448,411,Foxboro Stadium,outdoors,grass,1,4,62,100,20,0
2001,November,448,412,Qualcomm Stadium,outdoors,grass,3,5,63,77,9,0
2001,November,448,413,Alltel Stadium,outdoors,grass,1,3,79,0,7,0
2001,November,448,414,Giants Stadium,outdoors,grass,1,1,64,70,14,0
2001,November,452,417,Arrowhead Stadium,outdoors,grass,4,4,35,49,7,0
2001,December,456,418,Heinz Field,outdoors,grass,1,3,46,66,0,0
2001,December,456,419,Paul Brown Stadium,outdoors,grass,5,7,51,74,8,0
2001,December,456,420,Cleveland Browns Stadium,outdoors,grass,1,1,44,62,5,0
2001,December,456,421,Pro Player Stadium,outdoors,grass,1,1,76,82,6,0
2001,December,456,422,Giants Stadium,outdoors,grass,4,4,53,68,10,0
2001,December,456,423,PSINet Stadium,outdoors,grass,6,7,51,60,9,0
2001,December,456,424,Soldier Field,outdoors,grass,3,7,51,58,13,0
2001,December,456,426,Husky Stadium,outdoors,fieldturf,3,6,41,82,12,0
2001,December,456,428,Network Associates Coliseum,outdoors,grass,5,7,58,72,20,0
2001,December,456,429,FedExField,outdoors,grass,2,3,52,52,9,0
2001,December,456,430,3Com Park,outdoors,grass,0,3,45,0,25,0
2001,December,457,431,Alltel Stadium,outdoors,grass,2,5,56,0,10,0
2001,December,463,433,Raymond James Stadium,outdoors,grass,4,4,83,68,5,0
2001,December,463,434,Ralph Wilson Stadium,outdoors,astroturf,3,3,40,73,6,0
2001,December,463,435,Paul Brown Stadium,outdoors,grass,1,2,42,65,8,0
2001,December,463,436,Texas Stadium,outdoors,astroturf,4,5,47,35,5,0
2001,December,463,437,Lambeau Field,outdoors,grass,1,3,33,63,12,22
2001,December,463,438,Foxboro Stadium,outdoors,grass,5,7,37,90,15,28
2001,December,463,442,Sun Devil Stadium,outdoors,grass,3,6,71,17,8,0
2001,December,463,443,Heinz Field,outdoors,grass,4,7,41,75,8,0
2001,December,463,444,Network Associates Coliseum,outdoors,grass,2,3,54,66,15,0
2001,December,464,446,Pro Player Stadium,outdoors,grass,2,2,74,78,6,0
2001,December,469,448,Qualcomm Stadium,outdoors,grass,4,4,62,71,8,0
2001,December,470,450,Arrowhead Stadium,outdoors,grass,7,10,49,96,0,0
2001,December,470,451,Ralph Wilson Stadium,outdoors,astroturf,7,8,34,89,0,0
2001,December,470,452,Soldier Field,outdoors,grass,3,3,45,93,10,0
2001,December,470,454,Giants Stadium,outdoors,grass,1,3,40,45,7,0
2001,December,470,455,Cleveland Browns Stadium,outdoors,grass,4,4,44,67,8,0
2001,December,470,456,3Com Park,outdoors,grass,0,1,52,74,0,0
2001,December,470,457,Adelphia Coliseum,outdoors,grass,3,4,62,62,17,0
2001,December,470,458,FedExField,outdoors,grass,4,6,46,46,0,0
2001,December,470,459,Husky Stadium,outdoors,fieldturf,3,3,46,100,20,0
2001,December,470,460,PSINet Stadium,outdoors,grass,2,4,42,0,4,0
2001,December,476,462,Foxboro Stadium,outdoors,grass,4,4,36,0,14,16
