"#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
3709,CenturyLink Field,outdoors,fieldturf,3,3,40,93,5,N/A
3710,AT&T Stadium,retractable roof (closed),matrixturf,4,4,N/A,N/A,N/A,N/A
3711,Lucas Oil Stadium,retractable roof (closed),fieldturf,4,4,N/A,N/A,N/A,N/A
3712,Lincoln Financial Field,outdoors,grass,5,6,25,55,5,19
3713,Paul Brown Stadium,outdoors,fieldturf,3,3,42,84,5,N/A
3714,Lambeau Field,outdoors,grass,5,5,5,60,10,-10
3715,CenturyLink Field,outdoors,fieldturf,3,5,48,75,20,N/A
3716,Gillette Stadium,outdoors,fieldturf,2,2,57,100,18,0
3717,Bank of America Stadium,outdoors,grass,4,4,54,42,8,0
3718,Sports Authority Field at Mile High,outdoors,grass,2,4,41,20,17,N/A
3719,Sports Authority Field at Mile High,outdoors,grass,5,5,63,10,9,0
3720,CenturyLink Field,outdoors,fieldturf,4,4,43,88,1,0
3721,MetLife Stadium,outdoors,fieldturf,2,2,49,63,4,N/A
3722,CenturyLink Field,outdoors,fieldturf,3,3,71,52,11,0
3723,Soldier Field,outdoors,grass,5,5,74,45,3,0
3724,Edward Jones Dome,dome,astroplay,4,5,N/A,N/A,N/A,N/A
3725,Arrowhead Stadium,outdoors,grass,5,6,69,57,7,0
3726,MetLife Stadium,outdoors,fieldturf,2,2,76,47,12,0
3727,Lincoln Financial Field,outdoors,grass,3,5,75,51,9,0
3728,Heinz Field,outdoors,grass,5,5,71,55,6,N/A
3729,M&T Bank Stadium,outdoors,sportturf,6,8,74,45,8,0
3730,Georgia Dome,dome,fieldturf,5,5,N/A,N/A,N/A,N/A
3731,NRG Stadium,retractable roof (closed),grass,1,1,N/A,N/A,N/A,N/A
3732,Sun Life Stadium,outdoors,grass,6,6,89,61,0,0
3733,AT&T Stadium,retractable roof (closed),matrixturf,1,2,N/A,N/A,N/A,N/A
3734,Raymond James Stadium,outdoors,grass,2,3,88,29,6,N/A
3735,Sports Authority Field at Mile High,outdoors,grass,2,2,75,41,6,0
3736,Ford Field,dome,fieldturf,2,3,N/A,N/A,N/A,N/A
3737,University of Phoenix Stadium,retractable roof (closed),grass,3,3,N/A,N/A,N/A,N/A
3738,M&T Bank Stadium,outdoors,sportturf,6,6,82,40,6,0
3739,Ralph Wilson Stadium,outdoors,a_turf,6,7,58,56,4,0
3740,FirstEnergy Stadium,outdoors,grass,3,3,61,62,6,N/A
3741,LP Field,outdoors,grass,5,5,75,45,2,N/A
3742,Bank of America Stadium,outdoors,grass,3,5,70,63,9,0
3743,MetLife Stadium,outdoors,fieldturf,4,4,66,48,1,0
3744,Paul Brown Stadium,outdoors,fieldturf,2,5,66,48,4,0
3745,TCF Bank Stadium,outdoors,fieldturf,3,4,58,0,0,0
3746,FedExField,outdoors,grass,3,3,65,50,6,0
3747,Qualcomm Stadium,outdoors,grass,3,3,94,33,8,0
3748,Raymond James Stadium,outdoors,grass,5,6,88,47,8,N/A
3749,Sports Authority Field at Mile High,outdoors,grass,2,3,85,16,7,0
3750,Lambeau Field,outdoors,grass,4,4,63,52,15,0
3751,O.co Coliseum,outdoors,grass,3,4,67,69,16,0
3752,Levi's Stadium,outdoors,grass,2,2,78,48,10,0
3753,Lucas Oil Stadium,retractable roof (closed),fieldturf,5,6,N/A,N/A,N/A,N/A
3754,Georgia Dome,dome,fieldturf,0,1,N/A,N/A,N/A,N/A
3755,Edward Jones Dome,dome,astroplay,3,3,N/A,N/A,N/A,N/A
3756,Ralph Wilson Stadium,outdoors,a_turf,3,3,72,73,24,0
