"#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
4699,AT&T Stadium,retractable roof (closed),matrixturf,1,1,N/A,N/A,N/A,N/A
4700,Mercedes-Benz Stadium,retractable roof (closed),fieldturf,3,4,N/A,N/A,N/A,N/A
4701,New Era Field,outdoors,a_turf,4,4,48,13
4702,Soldier Field,outdoors,grass,5,5,54,6
4703,Lambeau Field,outdoors,grass,4,4,42,8
4704,EverBank Field,outdoors,grass,4,4,70,7
4705,Hard Rock Stadium,outdoors,grass,2,2,80,11
4706,MetLife Stadium,outdoors,fieldturf,4,5,48,0
4707,Nissan Stadium,outdoors,grass,3,6,60,4
4708,M&T Bank Stadium,outdoors,grass,3,4,53,4
4709,StubHub Center,outdoors,grass,5,6,68,7
4710,University of Phoenix Stadium,retractable roof (closed),grass,5,6,N/A,N/A,N/A,N/A
4711,Mercedes-Benz Superdome,dome,sportturf,1,2,N/A,N/A,N/A,N/A
4712,Oakland-Alameda County Coliseum,outdoors,grass,2,2,58,11
4713,CenturyLink Field,outdoors,fieldturf,2,2,44,3
4714,Paul Brown Stadium,outdoors,fieldturf,5,5,61,9
4715,Mercedes-Benz Stadium,retractable roof (closed),fieldturf,3,3,N/A,N/A,N/A,N/A
4716,New Era Field,outdoors,a_turf,0,2,32,15
4717,Bank of America Stadium,outdoors,grass,4,5,41,5
4718,Paul Brown Stadium,outdoors,fieldturf,2,2,31,11
4719,FirstEnergy Stadium,outdoors,grass,0,0,29,24
4720,NRG Stadium,retractable roof (closed),astroturf,5,6,N/A,N/A,N/A,N/A
4721,Arrowhead Stadium,outdoors,grass,4,4,46,13
4722,MetLife Stadium,outdoors,fieldturf,2,4,39,11
4723,Raymond James Stadium,outdoors,grass,1,1,55,9
4724,University of Phoenix Stadium,retractable roof (closed),grass,4,6,N/A,N/A,N/A,N/A
4725,Sports Authority Field at Mile High,outdoors,grass,3,4,60,3
4726,StubHub Center,outdoors,grass,3,3,81,4
4727,EverBank Field,outdoors,grass,4,5,N/A,N/A,N/A,N/A
4728,Los Angeles Memorial Coliseum,outdoors,grass,3,3,83,0
4729,Heinz Field,outdoors,grass,5,5,33,12
4730,Hard Rock Stadium,outdoors,grass,4,4,55,7
4731,Lucas Oil Stadium,retractable roof (closed),fieldturf,3,4,N/A,N/A,N/A,N/A
4732,Ford Field,dome,fieldturf,3,3,N/A,N/A,N/A,N/A
4733,Arrowhead Stadium,outdoors,grass,3,4,53,9
4734,New Era Field,outdoors,a_turf,4,4,22,8
4735,Bank of America Stadium,outdoors,grass,2,2,51,5
4736,FirstEnergy Stadium,outdoors,grass,3,3,36,0
4737,EverBank Field,outdoors,grass,1,1,72,5
4738,U.S. Bank Stadium,dome,sportturf,2,2,N/A,N/A,N/A,N/A
4739,Mercedes-Benz Superdome,dome,sportturf,3,3,N/A,N/A,N/A,N/A
4740,MetLife Stadium,outdoors,fieldturf,3,4,35,0
4741,FedExField,outdoors,grass,7,7,50,1
4742,CenturyLink Field,outdoors,fieldturf,2,2,47,15
4743,Heinz Field,outdoors,grass,3,3,42,4
4744,Levi's Stadium,outdoors,grass,9,9,65,17
4745,Oakland-Alameda County Coliseum,outdoors,grass,3,4,57,4
4746,Raymond James Stadium,outdoors,grass,1,3,71,2
4747,M&T Bank Stadium,outdoors,grass,6,8,63,14
4748,Lambeau Field,outdoors,grass,3,3,10,6
4749,Bank of America Stadium,outdoors,grass,7,8,55,6
4750,Soldier Field,outdoors,grass,1,1,24,8
4751,Paul Brown Stadium,outdoors,fieldturf,5,6,35,2
4752,Arrowhead Stadium,outdoors,grass,7,9,23,15
4753,Mercedes-Benz Superdome,dome,sportturf,5,5,N/A,N/A,N/A,N/A
4754,Gillette Stadium,outdoors,fieldturf,6,7,35,7
4755,MetLife Stadium,outdoors,fieldturf,0,1,40,6
4756,Nissan Stadium,outdoors,grass,3,5,39,11
4757,FedExField,outdoors,grass,3,3,43,7
4758,Levi's Stadium,outdoors,grass,2,2,52,0
4759,University of Phoenix Stadium,retractable roof (closed),grass,1,2,N/A,N/A,N/A,N/A
4760,AT&T Stadium,retractable roof (closed),matrixturf,4,6,N/A,N/A,N/A,N/A
4761,NRG Stadium,retractable roof (closed),astroturf,2,2,N/A,N/A,N/A,N/A
4762,Lincoln Financial Field,outdoors,grass,3,5,29,15
4763,Lucas Oil Stadium,retractable roof (closed),fieldturf,4,4,N/A,N/A,N/A,N/A
4764,Ford Field,dome,fieldturf,3,3,N/A,N/A,N/A,N/A
4765,U.S. Bank Stadium,dome,sportturf,1,2,N/A,N/A,N/A,N/A
4766,Gillette Stadium,outdoors,fieldturf,3,4,13,14
4767,MetLife Stadium,outdoors,fieldturf,3,4,16,16
4768,Lincoln Financial Field,outdoors,grass,0,1,19,17
4769,Heinz Field,outdoors,grass,1,1,11,3
4770,Mercedes-Benz Stadium,retractable roof (closed),fieldturf,6,6,N/A,N/A,N/A,N/A
4771,Sports Authority Field at Mile High,outdoors,grass,3,3,17,4
4772,Hard Rock Stadium,outdoors,grass,4,4,71,9
4773,Nissan Stadium,outdoors,grass,4,4,23,5
4774,Los Angeles Memorial Coliseum,outdoors,grass,4,4,67,3
4775,M&T Bank Stadium,outdoors,grass,3,3,19,12
4776,StubHub Center,outdoors,grass,2,3,62,2
4777,CenturyLink Field,outdoors,fieldturf,5,6,40,7
4778,Raymond James Stadium,outdoors,grass,2,2,71,3
4779,Arrowhead Stadium,outdoors,grass,1,2,33,10
4780,Los Angeles Memorial Coliseum,outdoors,grass,6,6,62,3
4781,EverBank Field,outdoors,grass,2,2,53,18
4782,Mercedes-Benz Superdome,dome,sportturf,5,6,N/A,N/A,N/A,N/A
4783,Lincoln Financial Field,outdoors,grass,4,4,32,16
4784,Gillette Stadium,outdoors,fieldturf,0,1,24,12
4785,Heinz Field,outdoors,grass,1,1,18,2
4786,U.S. Bank Stadium,dome,sportturf,4,6,N/A,N/A,N/A,N/A
4787,Gillette Stadium,outdoors,fieldturf,3,3,48,3
4788,Lincoln Financial Field,outdoors,grass,1,1,47,5
4789,U.S. Bank Stadium,dome,sportturf,5,6,N/A,N/A,N/A,N/A
4790,Lincoln Financial Field,outdoors,grass,3,3,81,8
4791,FirstEnergy Stadium,outdoors,grass,0,2,58,11
4792,Lucas Oil Stadium,retractable roof (closed),fieldturf,5,6,N/A,N/A,N/A,N/A
4793,Hard Rock Stadium,outdoors,grass,4,4,89,7
4794,U.S. Bank Stadium,dome,sportturf,4,4,N/A,N/A,N/A,N/A
4795,Mercedes-Benz Superdome,dome,sportturf,3,4,N/A,N/A,N/A,N/A
4796,Gillette Stadium,outdoors,fieldturf,4,4,62,10
4797,MetLife Stadium,outdoors,fieldturf,5,5,59,7
4798,M&T Bank Stadium,outdoors,grass,3,4,61,12
4799,StubHub Center,outdoors,grass,3,4,84,8
4800,Bank of America Stadium,outdoors,grass,1,2,81,9
4801,State Farm Stadium,retractable roof (closed),grass,1,1,N/A,N/A,N/A,N/A
4802,Sports Authority Field at Mile High,outdoors,grass,3,4,84,5
4803,Lambeau Field,outdoors,grass,4,4,62,10
4804,Ford Field,dome,fieldturf,3,5,N/A,N/A,N/A,N/A
4805,Oakland-Alameda County Coliseum,outdoors,grass,6,7,69,10
4806,Paul Brown Stadium,outdoors,fieldturf,3,3,82,3
4807,Mercedes-Benz Stadium,retractable roof (open),fieldturf,2,2,N/A,N/A,N/A,N/A
4808,New Era Field,outdoors,a_turf,3,3,83,6
4809,Lambeau Field,outdoors,grass,5,9,80,5
4810,Mercedes-Benz Superdome,dome,sportturf,4,7,N/A,N/A,N/A,N/A
4811,MetLife Stadium,outdoors,fieldturf,2,2,80,4
4812,Nissan Stadium,outdoors,grass,3,4,81,12
4813,Heinz Field,outdoors,grass,0,1,80,10
4814,Raymond James Stadium,outdoors,grass,0,1,91,9
4815,FedExField,outdoors,grass,3,4,71,5
4816,Los Angeles Memorial Coliseum,outdoors,grass,1,1,86,2
4817,Levi's Stadium,outdoors,grass,5,5,73,12
4818,Sports Authority Field at Mile High,outdoors,grass,4,4,92,4
4819,TIAA Bank Stadium,outdoors,grass,3,4,97,15
4820,AT&T Stadium,retractable roof (closed),matrixturf,4,4,N/A,N/A,N/A,N/A
4821,Soldier Field,outdoors,grass,2,2,79,2
4822,FirstEnergy Stadium,outdoors,grass,3,3,83,11
4823,Mercedes-Benz Stadium,retractable roof (closed),fieldturf,3,3,N/A,N/A,N/A,N/A
4824,Bank of America Stadium,outdoors,grass,1,2,80,3
4825,NRG Stadium,retractable roof (closed),astroturf,5,5,N/A,N/A,N/A,N/A
4826,TIAA Bank Stadium,outdoors,grass,5,6,89,10
4827,Arrowhead Stadium,outdoors,grass,3,3,70,4
4828,Hard Rock Stadium,outdoors,grass,2,2,90,7
4829,U.S. Bank Stadium,dome,sportturf,2,2,N/A,N/A,N/A,N/A
4830,Lincoln Financial Field,outdoors,grass,5,6,61,5
4831,M&T Bank Stadium,outdoors,grass,2,3,61,5
4832,FedExField,outdoors,grass,2,2,62,6
4833,Los Angeles Memorial Coliseum,outdoors,grass,1,2,80,5
4834,State Farm Stadium,retractable roof (closed),grass,3,4,N/A,N/A,N/A,N/A
4835,CenturyLink Field,outdoors,fieldturf,3,3,61,4
4836,Ford Field,dome,fieldturf,5,5,N/A,N/A,N/A,N/A
4837,Raymond James Stadium,outdoors,grass,3,4,77,5
4838,Los Angeles Memorial Coliseum,outdoors,grass,4,5,75,3
4839,Mercedes-Benz Stadium,retractable roof (closed),fieldturf,4,4,N/A,N/A,N/A,N/A
4840,Soldier Field,outdoors,grass,3,3,66,5
4841,Lucas Oil Stadium,retractable roof (closed),fieldturf,5,6,N/A,N/A,N/A,N/A
4842,AT&T Stadium,retractable roof (closed),matrixturf,5,5,N/A,N/A,N/A,N/A
4843,Lambeau Field,outdoors,grass,3,3,49,9
4844,TIAA Bank Stadium,outdoors,grass,5,5,86,10
4845,Gillette Stadium,outdoors,fieldturf,1,1,65,6
4846,Nissan Stadium,outdoors,grass,5,5,80,4
4847,State Farm Stadium,retractable roof (closed),grass,3,7,N/A,N/A,N/A,N/A
4848,Oakland-Alameda County Coliseum,outdoors,grass,5,7,71,8
4849,MetLife Stadium,outdoors,fieldturf,5,5,71,7
4850,StubHub Center,outdoors,grass,5,6,78,9
4851,Heinz Field,outdoors,grass,6,6,69,2
4852,Sports Authority Field at Mile High,outdoors,grass,5,5,65,5
4853,Gillette Stadium,outdoors,fieldturf,2,3,66,6
4854,New Era Field,outdoors,a_turf,6,6,62,8
4855,Bank of America Stadium,outdoors,grass,7,7,80,3
4856,Paul Brown Stadium,outdoors,fieldturf,3,4,87,4
4857,FirstEnergy Stadium,outdoors,grass,5,7,72,5
4858,Ford Field,dome,fieldturf,2,7,N/A,N/A,N/A,N/A
4859,Arrowhead Stadium,outdoors,grass,3,3,58,5
4860,MetLife Stadium,outdoors,fieldturf,3,4,77,7
4861,Heinz Field,outdoors,grass,1,1,83,5
4862,StubHub Center,outdoors,grass,3,5,75,10
4863,Lincoln Financial Field,outdoors,grass,5,7,79,6
4864,CenturyLink Field,outdoors,fieldturf,3,3,53,5
4865,Levi's Stadium,outdoors,grass,0,1,79,15
4866,NRG Stadium,retractable roof (closed),astroturf,7,8,N/A,N/A,N/A,N/A
4867,Mercedes-Benz Superdome,dome,sportturf,3,3,N/A,N/A,N/A,N/A
4868,MetLife Stadium,outdoors,fieldturf,4,6,70,3
4869,Mercedes-Benz Stadium,retractable roof (closed),fieldturf,3,3,N/A,N/A,N/A,N/A
4870,Paul Brown Stadium,outdoors,fieldturf,2,2,51,6
4871,FirstEnergy Stadium,outdoors,grass,3,3,51,9
4872,NRG Stadium,retractable roof (closed),astroturf,4,4,N/A,N/A,N/A,N/A
4873,Hard Rock Stadium,outdoors,grass,3,4,89,8
4874,U.S. Bank Stadium,dome,sportturf,3,3,N/A,N/A,N/A,N/A
4875,MetLife Stadium,outdoors,fieldturf,9,9,60,7
4876,Wembley Stadium,outdoors,grass,3,4,52,10
4877,FedExField,outdoors,grass,4,4,52,0
4878,Sports Authority Field at Mile High,outdoors,grass,5,6,25,6
4879,AT&T Stadium,retractable roof (closed),matrixturf,4,4,N/A,N/A,N/A,N/A
4880,Nissan Stadium,outdoors,grass,0,0,66,4
4881,Gillette Stadium,outdoors,fieldturf,9,9,45,0
4882,Lambeau Field,outdoors,grass,7,7,37,5
4883,State Farm Stadium,retractable roof (closed),grass,2,2,N/A,N/A,N/A,N/A
4884,Wembley Stadium,outdoors,grass,4,5,66,6
4885,Soldier Field,outdoors,grass,2,2,44,9
4886,Lucas Oil Stadium,retractable roof (closed),fieldturf,2,2,N/A,N/A,N/A,N/A
4887,TIAA Bank Stadium,outdoors,grass,2,2,68,15
4888,Hard Rock Stadium,outdoors,grass,4,5,89,8
4889,MetLife Stadium,outdoors,fieldturf,4,5,46,16
4890,Lincoln Financial Field,outdoors,grass,1,2,49,19
4891,Raymond James Stadium,outdoors,grass,2,3,79,7
4892,M&T Bank Stadium,outdoors,grass,2,2,54,15
4893,Levi's Stadium,outdoors,grass,4,4,62,5
4894,FedExField,outdoors,grass,3,4,52,12
4895,Arrowhead Stadium,outdoors,grass,2,3,59,10
4896,Mercedes-Benz Stadium,retractable roof (open),fieldturf,5,5,N/A,N/A,N/A,N/A
4897,NRG Stadium,retractable roof (closed),astroturf,3,3,N/A,N/A,N/A,N/A
4898,Wembley Stadium,outdoors,grass,5,5,48,12
4899,Bank of America Stadium,outdoors,grass,3,3,61,10
4900,Soldier Field,outdoors,grass,2,3,48,18
4901,Paul Brown Stadium,outdoors,fieldturf,3,3,55,7
4902,Ford Field,dome,fieldturf,0,0,N/A,N/A,N/A,N/A
4903,Arrowhead Stadium,outdoors,grass,2,3,56,12
4904,MetLife Stadium,outdoors,fieldturf,4,5,51,11
4905,Heinz Field,outdoors,grass,3,4,47,11
4906,Oakland-Alameda County Coliseum,outdoors,grass,2,2,69,8
4907,State Farm Stadium,retractable roof (closed),grass,3,3,N/A,N/A,N/A,N/A
4908,Los Angeles Memorial Coliseum,outdoors,grass,4,4,82,1
4909,U.S. Bank Stadium,dome,sportturf,3,3,N/A,N/A,N/A,N/A
4910,New Era Field,outdoors,a_turf,6,7,46,16
4911,Levi's Stadium,outdoors,grass,3,4,82,8
4912,New Era Field,outdoors,a_turf,3,3,49,12
4913,Bank of America Stadium,outdoors,grass,0,0,62,8
4914,FirstEnergy Stadium,outdoors,grass,2,2,53,16
4915,Hard Rock Stadium,outdoors,grass,4,5,87,16
4916,U.S. Bank Stadium,dome,sportturf,4,4,N/A,N/A,N/A,N/A
4917,M&T Bank Stadium,outdoors,grass,4,4,55,6
4918,FedExField,outdoors,grass,1,1,55,5
4919,Sports Authority Field at Mile High,outdoors,grass,3,5,53,3
4920,CenturyLink Field,outdoors,fieldturf,1,3,56,4
4921,Mercedes-Benz Superdome,dome,sportturf,3,4,N/A,N/A,N/A,N/A
4922,Gillette Stadium,outdoors,fieldturf,2,2,40,2
4923,AT&T Stadium,retractable roof (closed),matrixturf,0,2,N/A,N/A,N/A,N/A
4924,Heinz Field,outdoors,grass,1,1,40,4
4925,Soldier Field,outdoors,grass,1,3,37,12
4926,Paul Brown Stadium,outdoors,fieldturf,3,3,39,6
4927,FirstEnergy Stadium,outdoors,grass,1,1,36,9
4928,Lucas Oil Stadium,retractable roof (closed),fieldturf,2,4,N/A,N/A,N/A,N/A
4929,Arrowhead Stadium,outdoors,grass,2,2,43,5
4930,MetLife Stadium,outdoors,fieldturf,3,3,46,10
4931,Nissan Stadium,outdoors,grass,3,4,46,4
4932,Raymond James Stadium,outdoors,grass,4,6,82,3
4933,Oakland-Alameda County Coliseum,outdoors,grass,4,4,69,16
4934,Lambeau Field,outdoors,grass,5,5,33,6
4935,Los Angeles Memorial Coliseum,outdoors,grass,4,4,75,1
4936,Lincoln Financial Field,outdoors,grass,4,5,38,5
4937,Levi's Stadium,outdoors,grass,5,5,62,0
4938,CenturyLink Field,outdoors,fieldturf,3,4,54,6
4939,Mercedes-Benz Stadium,retractable roof (open),fieldturf,7,7,N/A,N/A,N/A,N/A
4940,Lucas Oil Stadium,retractable roof (closed),fieldturf,2,2,N/A,N/A,N/A,N/A
4941,Ford Field,dome,fieldturf,2,3,N/A,N/A,N/A,N/A
4942,TIAA Bank Stadium,outdoors,grass,3,3,73,8
4943,MetLife Stadium,outdoors,fieldturf,1,1,42,1
4944,M&T Bank Stadium,outdoors,grass,3,4,48,8
4945,FedExField,outdoors,grass,3,6,48,6
4946,State Farm Stadium,retractable roof (closed),grass,3,3,N/A,N/A,N/A,N/A
4947,StubHub Center,outdoors,grass,4,4,69,4
4948,Mercedes-Benz Superdome,dome,sportturf,2,2,N/A,N/A,N/A,N/A
4949,Soldier Field,outdoors,grass,5,5,33,6
4950,Los Angeles Memorial Coliseum,outdoors,grass,3,3,65,0
4951,Ford Field,dome,fieldturf,2,2,N/A,N/A,N/A,N/A
4952,AT&T Stadium,retractable roof (closed),matrixturf,2,2,N/A,N/A,N/A,N/A
4953,Mercedes-Benz Superdome,dome,sportturf,2,2,N/A,N/A,N/A,N/A
4954,New Era Field,outdoors,a_turf,1,2,44,12
4955,Bank of America Stadium,outdoors,grass,5,6,57,1
4956,Paul Brown Stadium,outdoors,fieldturf,0,1,44,4
4957,MetLife Stadium,outdoors,fieldturf,4,4,54,8
4958,Lincoln Financial Field,outdoors,grass,6,6,56,10
4959,M&T Bank Stadium,outdoors,grass,3,3,60,7
4960,Raymond James Stadium,outdoors,grass,3,3,77,7
4961,StubHub Center,outdoors,grass,2,3,74,3
4962,Lucas Oil Stadium,retractable roof (closed),fieldturf,3,4,N/A,N/A,N/A,N/A
4963,Sports Authority Field at Mile High,outdoors,grass,2,3,41,7
4964,U.S. Bank Stadium,dome,sportturf,2,4,N/A,N/A,N/A,N/A
4965,NRG Stadium,retractable roof (closed),astroturf,3,3,N/A,N/A,N/A,N/A
4966,AT&T Stadium,retractable roof (closed),matrixturf,3,3,N/A,N/A,N/A,N/A
4967,Mercedes-Benz Stadium,retractable roof (open),fieldturf,5,5,N/A,N/A,N/A,N/A
4968,Paul Brown Stadium,outdoors,fieldturf,2,3,63,12
4969,Ford Field,dome,fieldturf,6,6,N/A,N/A,N/A,N/A
4970,Lambeau Field,outdoors,grass,3,4,34,20
4971,NRG Stadium,retractable roof (closed),astroturf,5,5,N/A,N/A,N/A,N/A
4972,TIAA Bank Stadium,outdoors,grass,2,2,78,13
4973,Hard Rock Stadium,outdoors,grass,1,2,86,15
4974,MetLife Stadium,outdoors,fieldturf,5,5,52,3
4975,Raymond James Stadium,outdoors,grass,2,2,81,15
4976,Nissan Stadium,outdoors,grass,7,7,70,13
4977,Oakland-Alameda County Coliseum,outdoors,grass,4,4,57,6
4978,Gillette Stadium,outdoors,fieldturf,2,4,53,6
4979,CenturyLink Field,outdoors,fieldturf,2,2,45,2
4980,Heinz Field,outdoors,grass,2,3,57,8
4981,Lincoln Financial Field,outdoors,grass,4,4,36,15
4982,Nissan Stadium,outdoors,grass,1,1,44,5
4983,New Era Field,outdoors,a_turf,5,7,31,12
4984,FirstEnergy Stadium,outdoors,grass,4,4,28,4
4985,Lambeau Field,outdoors,grass,2,3,25,10
4986,NRG Stadium,retractable roof (closed),astroturf,1,1,N/A,N/A,N/A,N/A
4987,Arrowhead Stadium,outdoors,grass,3,5,27,0
4988,Hard Rock Stadium,outdoors,grass,2,3,82,13
4989,Raymond James Stadium,outdoors,grass,2,4,71,7
4990,FedExField,outdoors,grass,2,2,33,6
4991,StubHub Center,outdoors,grass,7,7,N/A,N/A,N/A,N/A
4992,Levi's Stadium,outdoors,grass,2,2,54,3
4993,State Farm Stadium,retractable roof (closed),grass,2,3,N/A,N/A,N/A,N/A
4994,AT&T Stadium,retractable roof (closed),matrixturf,4,5,N/A,N/A,N/A,N/A
4995,Oakland-Alameda County Coliseum,outdoors,grass,1,3,55,8
4996,Soldier Field,outdoors,grass,4,6,29,4
4997,CenturyLink Field,outdoors,fieldturf,2,3,48,9
4998,Arrowhead Stadium,outdoors,grass,0,0,39,5
4999,MetLife Stadium,outdoors,fieldturf,6,6,51,8
5000,Sports Authority Field at Mile High,outdoors,grass,4,4,46,0
5001,Mercedes-Benz Stadium,retractable roof (closed),fieldturf,2,2,N/A,N/A,N/A,N/A
5002,New Era Field,outdoors,a_turf,0,1,39,7
5003,Soldier Field,outdoors,grass,4,4,45,10
5004,Paul Brown Stadium,outdoors,fieldturf,6,6,43,2
5005,Lucas Oil Stadium,retractable roof (closed),fieldturf,3,4,N/A,N/A,N/A,N/A
5006,TIAA Bank Stadium,outdoors,grass,5,5,64,12
5007,U.S. Bank Stadium,dome,sportturf,3,3,N/A,N/A,N/A,N/A
5008,MetLife Stadium,outdoors,fieldturf,1,2,40,6
5009,M&T Bank Stadium,outdoors,grass,4,4,43,10
5010,Levi's Stadium,outdoors,grass,5,5,61,11
5011,Heinz Field,outdoors,grass,2,3,42,5
5012,Los Angeles Memorial Coliseum,outdoors,grass,6,7,60,5
5013,Bank of America Stadium,outdoors,grass,2,2,48,3
5014,Nissan Stadium,outdoors,grass,5,5,51,9
5015,StubHub Center,outdoors,grass,4,6,60,5
5016,Bank of America Stadium,outdoors,grass,2,2,52,7
5017,FirstEnergy Stadium,outdoors,grass,3,3,37,9
5018,Lucas Oil Stadium,retractable roof (closed),fieldturf,2,2,N/A,N/A,N/A,N/A
5019,AT&T Stadium,retractable roof (closed),matrixturf,4,5,N/A,N/A,N/A,N/A
5020,Ford Field,dome,fieldturf,5,5,N/A,N/A,N/A,N/A
5021,Hard Rock Stadium,outdoors,grass,1,3,73,9
5022,Gillette Stadium,outdoors,fieldturf,3,4,40,12
5023,MetLife Stadium,outdoors,fieldturf,4,5,43,8
5024,Lincoln Financial Field,outdoors,grass,3,3,44,5
5025,State Farm Stadium,retractable roof (closed),grass,2,4,N/A,N/A,N/A,N/A
5026,Levi's Stadium,outdoors,grass,3,4,50,5
5027,Mercedes-Benz Superdome,dome,sportturf,3,4,N/A,N/A,N/A,N/A
5028,CenturyLink Field,outdoors,fieldturf,4,5,43,8
5029,Oakland-Alameda County Coliseum,outdoors,grass,2,3,58,14
5030,New Era Field,outdoors,a_turf,1,2,33,9
5031,Lambeau Field,outdoors,grass,1,1,26,15
5032,NRG Stadium,retractable roof (closed),astroturf,3,3,N/A,N/A,N/A,N/A
5033,Mercedes-Benz Superdome,dome,sportturf,2,2,N/A,N/A,N/A,N/A
5034,Gillette Stadium,outdoors,fieldturf,2,2,33,2
5035,MetLife Stadium,outdoors,fieldturf,2,3,37,2
5036,Raymond James Stadium,outdoors,grass,4,4,80,5
5037,Sports Authority Field at Mile High,outdoors,grass,1,1,51,6
5038,Arrowhead Stadium,outdoors,grass,1,1,45,15
5039,U.S. Bank Stadium,dome,sportturf,2,2,N/A,N/A,N/A,N/A
5040,Heinz Field,outdoors,grass,5,5,42,9
5041,Los Angeles Memorial Coliseum,outdoors,grass,3,3,65,3
5042,M&T Bank Stadium,outdoors,grass,5,6,48,2
5043,CenturyLink Field,outdoors,fieldturf,5,5,45,5
5044,FedExField,outdoors,grass,1,1,46,3
5045,Nissan Stadium,outdoors,grass,3,3,53,4
5046,NRG Stadium,retractable roof (closed),astroturf,0,0,N/A,N/A,N/A,N/A
5047,AT&T Stadium,retractable roof (closed),matrixturf,3,5,N/A,N/A,N/A,N/A
5048,M&T Bank Stadium,outdoors,grass,6,8,52,12
5049,Soldier Field,outdoors,grass,4,5,39,12
5050,Arrowhead Stadium,outdoors,grass,1,2,32,13
5051,Los Angeles Memorial Coliseum,outdoors,grass,3,4,57,1
5052,Gillette Stadium,outdoors,fieldturf,2,2,26,3
5053,Mercedes-Benz Superdome,dome,sportturf,2,3,N/A,N/A,N/A,N/A
5054,Mercedes-Benz Superdome,dome,sportturf,7,7,N/A,N/A,N/A,N/A
5055,Arrowhead Stadium,outdoors,grass,2,2,19,14
5056,Mercedes-Benz Stadium,retractable roof (closed),fieldturf,3,5,N/A,N/A,N/A,N/A
5057,Soldier Field,outdoors,grass,2,2,65,69,10,N/A
5058,Bank of America Stadium,outdoors,grass,5,7,87,53,3,N/A
5059,FirstEnergy Stadium,outdoors,grass,2,2,71,55,10,N/A
5060,TIAA Bank Stadium,outdoors,grass,6,6,91,54,6,N/A
5061,Hard Rock Stadium,outdoors,grass,2,2,91,56,8,N/A
5062,U.S. Bank Stadium,dome,sportturf,0,0,N/A,N/A,N/A,N/A
5063,MetLife Stadium,outdoors,fieldturf,1,2,77,46,6,N/A
5064,Lincoln Financial Field,outdoors,grass,3,3,79,49,4,N/A
5065,StubHub Center,outdoors,grass,2,4,77,52,10,N/A
5066,CenturyLink Field,outdoors,fieldturf,2,3,64,82,7,N/A
5067,State Farm Stadium,retractable roof (closed),grass,6,6,N/A,N/A,N/A,N/A
5068,AT&T Stadium,retractable roof (closed),fieldturf,1,1,N/A,N/A,N/A,N/A
5069,Raymond James Stadium,outdoors,grass,4,5,93,52,9,N/A
5070,Gillette Stadium,outdoors,fieldturf,5,5,66,62,2,N/A
5071,Mercedes-Benz Superdome,dome,astroturf,3,4,N/A,N/A,N/A,N/A
5072,Ring Central Coliseum,outdoors,grass,4,5,68,66,15,N/A
5073,Bank of America Stadium,outdoors,grass,6,7,85,55,3,N/A
5074,Paul Brown Stadium,outdoors,grass,3,5,81,45,5,N/A
5075,Ford Field,dome,fieldturf,1,4,N/A,N/A,N/A,N/A
5076,Lambeau Field,outdoors,grass,1,2,72,75,5,N/A
5077,NRG Stadium,retractable roof (closed),grass,4,4,N/A,N/A,N/A,N/A
5078,Hard Rock Stadium,outdoors,grass,1,2,87,67,4,N/A
5079,MetLife Stadium,outdoors,fieldturf,0,1,79,48,5,N/A
5080,Nissan Stadium,outdoors,grass,1,2,93,45,1,N/A
5081,Heinz Field,outdoors,grass,2,3,81,51,3,N/A
5082,M&T Bank Stadium,outdoors,grass,6,6,82,60,8,N/A
5083,FedExField,outdoors,grass,1,1,80,46,7,N/A
5084,Ring Central Coliseum,outdoors,grass,1,1,70,61,13,N/A
5085,Empower Field at Mile High,outdoors,grass,5,5,87,14,3,N/A
5086,Los Angeles Memorial Coliseum,outdoors,grass,5,5,85,44,4,N/A
5087,Mercedes-Benz Stadium,retractable roof (open),fieldturf,3,4,N/A,N/A,N/A,N/A
5088,MetLife Stadium,outdoors,fieldturf,4,4,72,69,3,N/A
5089,TIAA Bank Stadium,outdoors,grass,2,2,73,87,9,N/A
5090,New Era Field,outdoors,astroturf,3,4,83,53,13,N/A
5091,Lucas Oil Stadium,retractable roof (closed),fieldturf,3,3,N/A,N/A,N/A,N/A
5092,AT&T Stadium,retractable roof (closed),fieldturf,3,5,N/A,N/A,N/A,N/A
5093,Lambeau Field,outdoors,grass,3,4,69,93,7,N/A
5094,Arrowhead Stadium,outdoors,grass,3,3,N/A,N/A,N/A,N/A
5095,U.S. Bank Stadium,dome,sportturf,2,3,N/A,N/A,N/A,N/A
5096,Gillette Stadium,outdoors,fieldturf,1,1,81,49,10,N/A
5097,Lincoln Financial Field,outdoors,grass,3,4,84,53,7,N/A
5098,State Farm Stadium,retractable roof (closed),grass,3,3,N/A,N/A,N/A,N/A
5099,Raymond James Stadium,outdoors,grass,5,6,88,46,11,N/A
5100,StubHub Center,outdoors,grass,2,3,87,37,4,N/A
5101,CenturyLink Field,outdoors,fieldturf,0,0,63,85,8,N/A
5102,Levi's Stadium,outdoors,grass,3,3,79,36,3,N/A
5103,FirstEnergy Stadium,outdoors,grass,4,5,83,33,12,N/A
5104,FedExField,outdoors,grass,2,4,87,39,5,N/A
5105,Lambeau Field,outdoors,grass,2,2,60,62,3,N/A
